Nombre de la escuela,Clave de la escuela,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro I,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro II,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro III,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro IV,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro I,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro II,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro III,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro IV
COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA NUM. 43 ING. MANUEL MOREN,24DPT0005Q,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA NUM. 43 ING. MANUEL MOREN,24DPT0005Q,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE BACHILLERES NUM. 17,24ECB0017A,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE BACHILLERES NUM. 17,24ECB0017A,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE BACHILLERES NUM. 25,24ECB0024K,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE BACHILLERES NUM. 25,24ECB0024K,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE BACHILLERES NUM. 26,24ECB0027H,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE BACHILLERES NUM. 26,24ECB0027H,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE BACHILLERES NUM. 28,24ECB0031U,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE BACHILLERES NUM. 28,24ECB0031U,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS UNIDAD SLP II REAL DE MINAS,24ETC0002O,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS UNIDAD SLP II REAL DE MINAS,24ETC0002O,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS UNIDAD S.L.P. IX BOCAS,24ETC0012V,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 121,24DCT0422Z,32.4,31.6,29.9,6,62,27.5,8.7,1.8
CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 121,24DCT0422Z,32.4,31.6,29.9,6,62,27.5,8.7,1.8
CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 131,24DCT0424X,32.4,31.6,29.9,6,62,27.5,8.7,1.8
CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 131,24DCT0424X,32.4,31.6,29.9,6,62,27.5,8.7,1.8
"INSTITUTO AVANCE, A.C.",24PBH0086Y,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO CARLOS GOMEZ,24PCT0001V,29.7,29,31.3,10,63.6,24.6,7.6,4.3
LIC. JESUS SILVA HERZOG,24SBC0001C,29.7,29,31.3,10,63.6,24.6,7.6,4.3
PROF. JOSE JUAREZ BARBOSA,24SBC0019B,29.7,29,31.3,10,63.6,24.6,7.6,4.3
E.P.C. NUM. 6 JESUS MARIA ISAIS REYES,24SBC0023O,29.7,29,31.3,10,63.6,24.6,7.6,4.3
CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 125,24DET0004L,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 125,24DET0004L,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA NUM. 205 SAN LUIS POTOSI,24DPT0009M,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA NUM. 205 SAN LUIS POTOSI,24DPT0009M,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NUM. 196,24DTA0196V,32.4,31.6,29.9,6,62,27.5,8.7,1.8
COLEGIO DE BACHILLERES NUM. 01,24ECB0001Z,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE BACHILLERES NUM. 01,24ECB0001Z,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE BACHILLERES NUM. 19,24ECB0025J,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE BACHILLERES NUM. 19,24ECB0025J,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
"COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS ""UNIDAD SLP I LOMAS MEZQUITA",24ETC0001P,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
"COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS ""UNIDAD SLP I LOMAS MEZQUITA",24ETC0001P,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
"COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS ""UNIDAD SLP III NUEVO PROGRE",24ETC0003N,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
"COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS ""UNIDAD SLP III NUEVO PROGRE",24ETC0003N,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO X ESCALERILLAS,24ETC0013U,37.8,30.3,25.4,6.5,68.1,23.5,6.5,1.9
COLEGIO SAN LUIS REY DE FRANCIA,24PBH0001A,29.7,29,31.3,10,63.6,24.6,7.6,4.3
"COLEGIO HISPANO MEXICANO, A.C.",24PBH0010I,29.7,29,31.3,10,63.6,24.6,7.6,4.3
COLEGIO SEMBRADORES DE AMISTAD,24PBH0011H,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO SANTA RITA,24PBH0014E,29.7,29,31.3,10,63.6,24.6,7.6,4.3
"INSTITUTO LATINOAMERICANO DE SAN LUIS, A.C.",24PBH0023M,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO TECNOLOGICO DE ESTUDIOS SUPERIORES DE MONTERREY CAMPUS SAN LUIS P,24PBH0028H,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO CARLOS GOMEZ,24PBH0031V,29.7,29,31.3,10,63.6,24.6,7.6,4.3
"INSTITUTO ALFRED NOBEL DEL CENTRO, S.C.",24PBH0034S,29.7,29,31.3,10,63.6,24.6,7.6,4.3
COLEGIO VALLARTA,24PBH0037P,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO PONCIANO ARRIAGA,24PBH0045Y,29.7,29,31.3,10,63.6,24.6,7.6,4.3
"INSTITUTO DE ESTUDIOS SUPERIORES DE SAN LUIS, A.C.",24PBH0046X,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO ATENEA,24PBH0047W,29.7,29,31.3,10,63.6,24.6,7.6,4.3
FRAY BARTOLOME DE LAS CASAS,24PBH0058B,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO JUSTO SIERRA,24PBH0070X,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO CULTURAL LICEO DEL POTOSI,24PBH0074T,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO JUVENTUD,24PBH0075S,29.7,29,31.3,10,63.6,24.6,7.6,4.3
ESCUELA PREPARATORIA REAL DEL POTOSI,24PBH0079O,29.7,29,31.3,10,63.6,24.6,7.6,4.3
RAFAEL NIETO,24PBH0080D,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO BENEMERITO DE LAS AMERICAS,24PBH0081C,29.7,29,31.3,10,63.6,24.6,7.6,4.3
CENTRO EDUCATIVO MONTESSORI,24PBH0083A,29.7,29,31.3,10,63.6,24.6,7.6,4.3
"COLEGIO ALMA PATRIA DE SAN LUIS, A.C.",24PBH0084Z,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO RICARDO FLORES MAGON,24PBH0085Z,29.7,29,31.3,10,63.6,24.6,7.6,4.3
ESCUELA PREPARATORIA SAN LUIS DE LA PATRIA,24PBH0097D,29.7,29,31.3,10,63.6,24.6,7.6,4.3
UNIVERSIDAD DEL CENTRO DE MEXICO,24PBH0101Z,29.7,29,31.3,10,63.6,24.6,7.6,4.3
JUANA DE ASBAJE,24PBH0102Z,29.7,29,31.3,10,63.6,24.6,7.6,4.3
PREPARATORIA DE LA UNIVERSIDAD MARISTA DE SAN LUIS POTOSI,24PBH0111G,29.7,29,31.3,10,63.6,24.6,7.6,4.3
JOSE VASCONCELOS,24PBH0114D,29.7,29,31.3,10,63.6,24.6,7.6,4.3
PREPARATORIA MOTOLINIA,24PBH0117A,29.7,29,31.3,10,63.6,24.6,7.6,4.3
BACHILLERATO UNIVERSIDAD CUAUHTEMOC SAN LUIS POTOSI,24PBH0123L,29.7,29,31.3,10,63.6,24.6,7.6,4.3
COLEGIO JOSE ANTONIO ALZATE Y RAMIREZ,24PBH0126I,29.7,29,31.3,10,63.6,24.6,7.6,4.3
COLEGIO MINERVA,24PBH3053A,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO GABRIEL AGUIRRE,24PBH3054Z,29.7,29,31.3,10,63.6,24.6,7.6,4.3
"INSTITUTO HISPANO INGLES, A.C.",24PBH3260I,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO ANDES DE SAN LUIS,24PBH3363E,29.7,29,31.3,10,63.6,24.6,7.6,4.3
UNIVERSIDAD DEL VALLE DE MEXICO,24PBH3403P,29.7,29,31.3,10,63.6,24.6,7.6,4.3
UNIVERSIDAD TECMILENIO CAMPUS SAN LUIS POTOSI,24PBH3642P,29.7,29,31.3,10,63.6,24.6,7.6,4.3
COLEGIO INTERNACIONAL TERRANOVA BACHILLERATO,24PBH3717P,29.7,29,31.3,10,63.6,24.6,7.6,4.3
MULTIVERSIDAD LATINOAMERICANA CAMPUS SAN LUIS POTOSI BACHILLERATO,24PBH3851V,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO LOMAS DEL REAL,24PCB0002E,29.7,29,31.3,10,63.6,24.6,7.6,4.3
"COLEGIO JUAN DE DIOS PEZA, A.C.",24PCB0003D,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO REAL DE SAN LUIS,24PCB0016H,29.7,29,31.3,10,63.6,24.6,7.6,4.3
INSTITUTO LA PAZ,24PCB0017G,29.7,29,31.3,10,63.6,24.6,7.6,4.3
CONCIENCIA BACHILLER,24PCB0021T,29.7,29,31.3,10,63.6,24.6,7.6,4.3
CARTAGO,24PCT0005R,29.7,29,31.3,10,63.6,24.6,7.6,4.3
BACHILLERATO TECNOLOGICO DE SAN LUIS POTOSI,24PCT0010C,29.7,29,31.3,10,63.6,24.6,7.6,4.3
EDUCATIVO TECNOLOGICO EMETA,24PCT0022H,29.7,29,31.3,10,63.6,24.6,7.6,4.3
PROF. PEDRO VALLEJO,24SBC0002B,29.7,29,31.3,10,63.6,24.6,7.6,4.3
PROF. JESUS R ALDERETE,24SBC0003A,29.7,29,31.3,10,63.6,24.6,7.6,4.3
FRANCISCO MARTINEZ DE LA VEGA,24SBC0004Z,29.7,29,31.3,10,63.6,24.6,7.6,4.3
PROF. LIBRADO RIVERA,24SBC0005Z,29.7,29,31.3,10,63.6,24.6,7.6,4.3
RAFAEL NIETO COMPEAN,24SBC0010K,29.7,29,31.3,10,63.6,24.6,7.6,4.3
PROFA. CELIA FERNANDEZ CAPETILLO,24SBC0011J,29.7,29,31.3,10,63.6,24.6,7.6,4.3
LIC. ANTONIO ROCHA CORDERO,24SBC0012I,29.7,29,31.3,10,63.6,24.6,7.6,4.3
PONCIANO ARRIAGA,24SBC0013H,29.7,29,31.3,10,63.6,24.6,7.6,4.3
E.P.C. NUM. 1 BENITO SOLIS LUNA,24SBC0014G,29.7,29,31.3,10,63.6,24.6,7.6,4.3
E.P.C. NUM. 2 LUIS G. MEDELLIN NIÑO,24SBC0015F,29.7,29,31.3,10,63.6,24.6,7.6,4.3
PROFA. MARGARITA CARDENAS DE RENTERIA,24SBC0020R,29.7,29,31.3,10,63.6,24.6,7.6,4.3
PROF. J. NATIVIDAD SANCHEZ,24SBC0021Q,29.7,29,31.3,10,63.6,24.6,7.6,4.3
E.P.C. NUM. 5 GRACIANO SANCHEZ ROMO,24SBC0022P,29.7,29,31.3,10,63.6,24.6,7.6,4.3
PROF. JOSE CESAR CRUZ SANDOVAL,24SBC0026L,29.7,29,31.3,10,63.6,24.6,7.6,4.3
E.P.C. NUM. 19 CAP. MIGUEL CALDERA,24SBC0037R,29.7,29,31.3,10,63.6,24.6,7.6,4.3
PROF. JUAN GREGORIO SALINAS FUENTES,24SBC0040E,29.7,29,31.3,10,63.6,24.6,7.6,4.3
E.P.C. NUM. 32 JUSTO SIERRA,24SBC0053I,29.7,29,31.3,10,63.6,24.6,7.6,4.3
PROF. ANTONIO TRISTAN ALVAREZ,24SBC0055G,29.7,29,31.3,10,63.6,24.6,7.6,4.3
E.P.C. NUM. 22 RICARDO FLORES MAGON,24SBC0070Z,29.7,29,31.3,10,63.6,24.6,7.6,4.3
PROFA. CELIA LECHON NOYOLA,24SBC0071Y,29.7,29,31.3,10,63.6,24.6,7.6,4.3
NUEVA GENERACION,24SBC0076T,29.7,29,31.3,10,63.6,24.6,7.6,4.3
PREPARATORIA MUNICIPAL EL SAUCITO,24SBC0081E,29.7,29,31.3,10,63.6,24.6,7.6,4.3
SOLIDARIDAD,24SBC0087Z,29.7,29,31.3,10,63.6,24.6,7.6,4.3
PROF. RAFAEL TURRUBIARTES MACIAS,24SBC0088Y,29.7,29,31.3,10,63.6,24.6,7.6,4.3
TOMAS MIRANDA LEURA,24SBC0089X,29.7,29,31.3,10,63.6,24.6,7.6,4.3
FLORENCIO SALAZAR MARTINEZ,24SBC0092K,29.7,29,31.3,10,63.6,24.6,7.6,4.3
NICOLAS LEON,24SBC1079X,29.7,29,31.3,10,63.6,24.6,7.6,4.3
MIGUEL DE CERVANTES SAAVEDRA,24SBC1093Q,29.7,29,31.3,10,63.6,24.6,7.6,4.3
