Nombre de la escuela,Clave de la escuela,Clave de la entidad,Turno,Nombre del municipio,Subsistema,Grado de marginación (CONAPO) de la localidad donde se ubica el CT,Sostenimiento,Total de alumnos en el ultimo grado (matrícula),Alumnos programados,Alumnos evaluados: L&C,Alumnos evaluados: M,Porcentaje (%) de alumnos evaluados: L&C,Porcentaje (%) de alumnos evaluados: M,Escuelas parecidas para comparación,NLLC:Cantidad de alumnos en la escuela en cada nivel de logro: I,NLLC:Cantidad de alumnos en la escuela en cada nivel de logro: II,NLLC:Cantidad de alumnos en la escuela en cada nivel de logro: III,NLLC:Cantidad de alumnos en la escuela en cada nivel de logro: IV,NLLC:% de alumnos de la escuela en cada nivel de logro: I,NLLC:% de alumnos de la escuela en cada nivel de logro: II,NLLC:% de alumnos de la escuela en cada nivel de logro: III,NLLC:% de alumnos de la escuela en cada nivel de logro: IV,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro I,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro II,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro III,NLLC:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro IV,NLLC:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro I,NLLC:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro II,NLLC:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro III,NLLC:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro IV,NLM:Cantidad de alumnos en la escuela en cada nivel de logro: I,NLM:Cantidad de alumnos en la escuela en cada nivel de logro: II,NLM:Cantidad de alumnos en la escuela en cada nivel de logro: III,NLM:Cantidad de alumnos en la escuela en cada nivel de logro: IV,NLM:% de alumnos de la escuela en cada nivel de logro: I,NLM:% de alumnos de la escuela en cada nivel de logro: II,NLM:% de alumnos de la escuela en cada nivel de logro: III,NLM:% de alumnos de la escuela en cada nivel de logro: IV,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro I,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro II,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro III,NLM:Porcentaje de alumnos de escuelas parecidas en cada nivel de logro IV,NLM:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro I,NLM:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro II,NLM:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro III,NLM:Porcentaje de alumnos en todas las escuelas de México de cada nivel de logro IV,Grupo
COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA NUM. 43 ING. MANUEL MOREN,24DPT0005Q,24,0,0,3,4,1,172,76,71,71,93.4,93.4,1,19,22,23,7,26.8,31.0,32.4,9.9,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,45,15,9,2,63.4,21.1,12.7,2.8,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA NUM. 43 ING. MANUEL MOREN,24DPT0005Q,24,1,0,3,4,1,123,76,72,73,94.7,96.1,1,38,20,14,0,52.8,27.8,19.4,0.0,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,59,14,0,0,80.8,19.2,0.0,0.0,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
COLEGIO DE BACHILLERES NUM. 17,24ECB0017A,24,0,1,2,4,1,201,76,72,74,94.7,97.4,1,21,15,31,5,29.2,20.8,43.1,6.9,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,47,19,5,3,63.5,25.7,6.8,4.1,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
COLEGIO DE BACHILLERES NUM. 17,24ECB0017A,24,1,1,2,4,1,176,76,68,66,89.5,86.8,1,28,21,13,6,41.2,30.9,19.1,8.8,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,49,13,2,2,74.2,19.7,3.0,3.0,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
COLEGIO DE BACHILLERES NUM. 25,24ECB0024K,24,0,0,2,4,1,229,80,73,64,91.3,80.0,1,18,23,26,6,24.7,31.5,35.6,8.2,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,44,15,5,0,68.8,23.4,7.8,0.0,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
COLEGIO DE BACHILLERES NUM. 25,24ECB0024K,24,1,0,2,4,1,218,76,70,70,92.1,92.1,1,16,30,22,2,22.9,42.9,31.4,2.9,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,46,19,5,0,65.7,27.1,7.1,0.0,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
COLEGIO DE BACHILLERES NUM. 26,24ECB0027H,24,0,0,2,4,1,385,80,72,71,90.0,88.8,1,7,19,23,23,9.7,26.4,31.9,31.9,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,28,21,16,6,39.4,29.6,22.5,8.5,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
COLEGIO DE BACHILLERES NUM. 26,24ECB0027H,24,1,0,2,4,1,314,76,71,70,93.4,92.1,1,20,19,29,3,28.2,26.8,40.8,4.2,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,48,16,4,2,68.6,22.9,5.7,2.9,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
COLEGIO DE BACHILLERES NUM. 28,24ECB0031U,24,0,0,2,4,1,400,76,70,71,92.1,93.4,1,2,9,32,27,2.9,12.9,45.7,38.6,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,18,22,14,17,25.4,31.0,19.7,23.9,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
COLEGIO DE BACHILLERES NUM. 28,24ECB0031U,24,1,0,2,4,1,336,76,70,75,92.1,98.7,1,5,14,35,16,7.1,20.0,50.0,22.9,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,28,26,16,5,37.3,34.7,21.3,6.7,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS UNIDAD SLP II REAL DE MINAS,24ETC0002O,24,0,0,1,4,1,189,76,60,67,78.9,88.2,1,14,21,21,4,23.3,35.0,35.0,6.7,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,43,15,5,4,64.2,22.4,7.5,6.0,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS UNIDAD SLP II REAL DE MINAS,24ETC0002O,24,1,0,1,4,1,141,76,74,72,97.4,94.7,1,40,16,16,2,54.1,21.6,21.6,2.7,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,59,11,1,1,81.9,15.3,1.4,1.4,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS UNIDAD S.L.P. IX BOCAS,24ETC0012V,24,0,0,1,2,1,86,80,76,76,95.0,95.0,1,23,28,20,5,30.3,36.8,26.3,6.6,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,52,20,3,1,68.4,26.3,3.9,1.3,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 121,24DCT0422Z,24,0,1,6,4,2,311,76,65,63,85.5,82.9,2,11,23,21,10,16.9,35.4,32.3,15.4,32.4,31.6,29.9,6.0,33.9,28.1,28.7,9.2,30,22,6,5,47.6,34.9,9.5,7.9,62.0,27.5,8.7,1.8,66.2,23.3,8,2.5,0
CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 121,24DCT0422Z,24,1,1,6,4,2,298,76,68,71,89.5,93.4,2,22,18,25,3,32.4,26.5,36.8,4.4,32.4,31.6,29.9,6.0,33.9,28.1,28.7,9.2,34,22,12,3,47.9,31.0,16.9,4.2,62.0,27.5,8.7,1.8,66.2,23.3,8,2.5,0
CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 131,24DCT0424X,24,0,0,6,4,2,298,76,67,67,88.2,88.2,2,7,16,29,15,10.4,23.9,43.3,22.4,32.4,31.6,29.9,6.0,33.9,28.1,28.7,9.2,27,22,14,4,40.3,32.8,20.9,6.0,62.0,27.5,8.7,1.8,66.2,23.3,8,2.5,2
CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 131,24DCT0424X,24,1,0,6,4,2,233,76,64,70,84.2,92.1,2,11,21,29,3,17.2,32.8,45.3,4.7,32.4,31.6,29.9,6.0,33.9,28.1,28.7,9.2,43,13,10,4,61.4,18.6,14.3,5.7,62.0,27.5,8.7,1.8,66.2,23.3,8,2.5,0
"INSTITUTO AVANCE, A.C.",24PBH0086Y,24,0,0,9,4,3,46,38,32,31,84.2,81.6,3,14,9,6,3,43.8,28.1,18.8,9.4,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,22,8,1,0,71.0,25.8,3.2,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
INSTITUTO CARLOS GOMEZ,24PCT0001V,24,0,0,9,4,3,126,76,70,68,92.1,89.5,3,7,13,32,18,10.0,18.6,45.7,25.7,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,15,24,10,19,22.1,35.3,14.7,27.9,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,2
LIC. JESUS SILVA HERZOG,24SBC0001C,24,0,0,10,4,3,420,76,67,68,88.2,89.5,3,6,14,33,14,9.0,20.9,49.3,20.9,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,20,31,13,4,29.4,45.6,19.1,5.9,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,2
PROF. JOSE JUAREZ BARBOSA,24SBC0019B,24,0,0,10,4,3,175,76,67,72,88.2,94.7,3,19,20,26,2,28.4,29.9,38.8,3.0,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,49,18,5,0,68.1,25.0,6.9,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,0
E.P.C. NUM. 6 JESUS MARIA ISAIS REYES,24SBC0023O,24,1,0,10,4,3,31,29,28,29,96.6,100.0,3,12,8,8,0,42.9,28.6,28.6,0.0,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,25,3,1,0,86.2,10.3,3.4,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 125,24DET0004L,24,0,0,8,4,1,308,80,68,71,85.0,88.8,1,23,17,22,6,33.8,25.0,32.4,8.8,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,51,16,3,1,71.8,22.5,4.2,1.4,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 125,24DET0004L,24,1,0,8,4,1,166,80,67,67,83.8,83.8,1,31,24,12,0,46.3,35.8,17.9,0.0,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,57,9,1,0,85.1,13.4,1.5,0.0,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA NUM. 205 SAN LUIS POTOSI,24DPT0009M,24,0,1,3,4,1,169,80,67,71,83.8,88.8,1,29,18,15,5,43.3,26.9,22.4,7.5,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,61,4,3,3,85.9,5.6,4.2,4.2,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA NUM. 205 SAN LUIS POTOSI,24DPT0009M,24,1,1,3,4,1,132,80,59,60,73.8,75.0,1,37,13,9,0,62.7,22.0,15.3,0.0,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,59,1,0,0,98.3,1.7,0.0,0.0,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NUM. 196,24DTA0196V,24,0,0,5,4,2,147,80,62,52,77.5,65.0,2,28,22,11,1,45.2,35.5,17.7,1.6,32.4,31.6,29.9,6.0,33.9,28.1,28.7,9.2,40,6,5,1,76.9,11.5,9.6,1.9,62.0,27.5,8.7,1.8,66.2,23.3,8,2.5,0
COLEGIO DE BACHILLERES NUM. 01,24ECB0001Z,24,0,1,2,4,1,379,80,73,76,91.3,95.0,1,8,20,32,13,11.0,27.4,43.8,17.8,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,36,26,8,6,47.4,34.2,10.5,7.9,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
COLEGIO DE BACHILLERES NUM. 01,24ECB0001Z,24,1,1,2,4,1,300,80,72,73,90.0,91.3,1,15,16,30,11,20.8,22.2,41.7,15.3,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,41,21,10,1,56.2,28.8,13.7,1.4,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
COLEGIO DE BACHILLERES NUM. 19,24ECB0025J,24,0,0,2,4,1,248,80,77,76,96.3,95.0,1,10,26,33,8,13.0,33.8,42.9,10.4,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,36,30,5,5,47.4,39.5,6.6,6.6,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
COLEGIO DE BACHILLERES NUM. 19,24ECB0025J,24,1,0,2,4,1,173,80,73,73,91.3,91.3,1,31,28,12,2,42.5,38.4,16.4,2.7,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,56,14,3,0,76.7,19.2,4.1,0.0,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
"COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS ""UNIDAD SLP I LOMAS MEZQUITA",24ETC0001P,24,0,0,1,4,1,184,80,75,75,93.8,93.8,1,23,29,21,2,30.7,38.7,28.0,2.7,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,46,17,10,2,61.3,22.7,13.3,2.7,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
"COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS ""UNIDAD SLP I LOMAS MEZQUITA",24ETC0001P,24,1,0,1,4,1,132,80,71,73,88.8,91.3,1,34,25,8,4,47.9,35.2,11.3,5.6,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,61,10,2,0,83.6,13.7,2.7,0.0,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
"COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS ""UNIDAD SLP III NUEVO PROGRE",24ETC0003N,24,0,0,1,4,1,201,80,77,76,96.3,95.0,1,23,26,23,5,29.9,33.8,29.9,6.5,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,49,17,4,6,64.5,22.4,5.3,7.9,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
"COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS ""UNIDAD SLP III NUEVO PROGRE",24ETC0003N,24,1,0,1,4,1,168,80,79,79,98.8,98.8,1,44,18,16,1,55.7,22.8,20.3,1.3,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,60,18,1,0,75.9,22.8,1.3,0.0,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO X ESCALERILLAS,24ETC0013U,24,0,0,1,2,1,44,40,39,39,97.5,97.5,1,27,9,3,0,69.2,23.1,7.7,0.0,37.8,30.3,25.4,6.5,33.9,28.1,28.7,9.2,35,3,1,0,89.7,7.7,2.6,0.0,68.1,23.5,6.5,1.9,66.2,23.3,8,2.5,3
COLEGIO SAN LUIS REY DE FRANCIA,24PBH0001A,24,0,0,9,4,3,130,80,77,78,96.3,97.5,3,13,26,31,7,16.9,33.8,40.3,9.1,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,50,19,8,1,64.1,24.4,10.3,1.3,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,0
"COLEGIO HISPANO MEXICANO, A.C.",24PBH0010I,24,0,0,9,4,3,35,35,31,33,88.6,94.3,3,2,9,11,9,6.5,29.0,35.5,29.0,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,17,10,4,2,51.5,30.3,12.1,6.1,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
COLEGIO SEMBRADORES DE AMISTAD,24PBH0011H,24,0,0,9,4,3,89,80,77,77,96.3,96.3,3,3,17,33,24,3.9,22.1,42.9,31.2,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,13,36,11,17,16.9,46.8,14.3,22.1,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,2
INSTITUTO SANTA RITA,24PBH0014E,24,0,0,9,4,3,16,16,14,13,87.5,81.3,3,4,5,5,0,28.6,35.7,35.7,0.0,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,11,1,1,0,84.6,7.7,7.7,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
"INSTITUTO LATINOAMERICANO DE SAN LUIS, A.C.",24PBH0023M,24,0,0,9,4,3,12,12,12,12,100.0,100.0,3,0,3,7,2,0.0,25.0,58.3,16.7,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,3,7,1,1,25.0,58.3,8.3,8.3,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
INSTITUTO TECNOLOGICO DE ESTUDIOS SUPERIORES DE MONTERREY CAMPUS SAN LUIS P,24PBH0028H,24,0,0,9,4,3,280,80,79,77,98.8,96.3,3,1,1,28,49,1.3,1.3,35.4,62.0,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,7,21,28,21,9.1,27.3,36.4,27.3,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,2
INSTITUTO CARLOS GOMEZ,24PBH0031V,24,0,0,9,4,3,161,80,69,65,86.3,81.3,3,4,7,36,22,5.8,10.1,52.2,31.9,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,27,24,9,5,41.5,36.9,13.8,7.7,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,2
"INSTITUTO ALFRED NOBEL DEL CENTRO, S.C.",24PBH0034S,24,0,0,9,4,3,22,22,19,19,86.4,86.4,3,6,7,4,2,31.6,36.8,21.1,10.5,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,14,4,1,0,73.7,21.1,5.3,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
COLEGIO VALLARTA,24PBH0037P,24,0,0,9,4,3,16,16,14,15,87.5,93.8,3,4,3,5,2,28.6,21.4,35.7,14.3,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,12,3,0,0,80.0,20.0,0.0,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,1
INSTITUTO PONCIANO ARRIAGA,24PBH0045Y,24,0,0,9,4,3,265,80,57,53,71.3,66.3,3,38,10,9,0,66.7,17.5,15.8,0.0,29.7,29.0,31.3,10.0,33.9,28.1,28.7,9.2,48,4,1,0,90.6,7.5,1.9,0.0,63.6,24.6,7.6,4.3,66.2,23.3,8,2.5,0
